gene_id	padj	log2FoldChange	probesetID
AT5G12310	0.016644181	-1.27	245207_at
AT5G56750	0.00374078	1.637066177	247979_at
AT3G53540	0.000216316	-1.63	251946_at
AT3G52470	0.025259783	1.334938678	252058_at
AT1G25320	0.027335632	-1.25	245644_at
AT5G48540	0.004566337	-1.84	248686_at
AT5G47370	0.000188982	2.080827738	248801_at
AT1G05010	0.000215317	-1.66	265194_at
AT1G28710	0.036943782	-1.33	262750_at
AT1G67910	0.0000377	-1.97	259996_at
AT5G11720	0.03118189	1.230421701	250336_at
AT3G55120	0.010812711	1.360425565	251827_at
AT5G17760	0.000290403	-2.07	250062_at
AT5G03230	8.88E-08	5.256950349	250937_at
